id,num,gender,gender_label,gender_tj,letter,name_tj,name_cyrillic,name_latin,name_tj_raw,name_cyrillic_raw,name_latin_raw,is_official_permitted,legal_decree,is_enriched,matched_child_name_id,meaning,origin,attributes,history
tj_f_anbarfizo_27,27,female,Женский,Духтарона,А,Анбарфизо,Анбарфизо,Anbarfizo,АНБАРФИЗО,АНБАРФИЗО,ANBARFIZO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_angubin_28,28,female,Женский,Духтарона,А,Ангубин,Ангубин,Angubin,АНГУБИН,АНГУБИН,ANGUBIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anzurat_29,29,female,Женский,Духтарона,А,Анзурат,Анзурат,Anzurat,АНЗУРАТ,АНЗУРАТ,ANZURAT,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anisa_30,30,female,Женский,Духтарона,А,Аниса,Аниса,Anisa,АНИСА,АНИСА,ANISA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,aneesa,"Дружелюбная, общительная, дарящая душевный покой. Корень أَنِسَ (аниса) — дружить, находить утешение в общении. أَنِيسَة — «та, чьё присутствие приносит радость»",Арабское,дружелюбная; общительная; ласковая; добрая; утешающая,"Арабское أَنِيسَة (ниса) — «дружелюбная, приносящая утешение». В Коране (48:29) верующие описываются как «رُحَمَاءُ بَيْنَهُمْ» — «милосердные между собой». Аниса — имя нескольких вольноотпущенниц и женщин из числа сподвижников. «Аль-унс» (душевная близость, дружба) — высокий суфийский термин: аль-унс биллах — близость к Аллаху. Рабиа аль-Адавийя воспевала «унс» как высшую ступень любви. Пророк ﷺ описывал идеальных супругов как «аниса» друг другу: «Лучший из вас тот, кто лучший для своей семьи»."
tj_f_anorgul_31,31,female,Женский,Духтарона,А,Аноргул,Аноргул,Anorgul,АНОРГУЛ,АНОРГУЛ,ANORGUL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anohita_32,32,female,Женский,Духтарона,А,Аноҳита,Анохита,Anohita,АНОҲИТА,АНОХИТА,ANOHITA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anohito_33,33,female,Женский,Духтарона,А,Аноҳито,Анохито,Anohito,АНОҲИТО,АНОХИТО,ANOHITO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anusha_34,34,female,Женский,Духтарона,А,Ануша,Ануша,Anusha,АНУША,АНУША,ANUSHA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anushabonu_35,35,female,Женский,Духтарона,А,Анушабону,Анушабону,Anushabonu,АНУШАБОНУ,АНУШАБОНУ,ANUSHABONU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anushin_36,36,female,Женский,Духтарона,А,Анушин,Анушин,Anushin,АНУШИН,АНУШИН,ANUSHIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_anusho_37,37,female,Женский,Духтарона,А,Анушо,Анушо,Anusho,АНУШО,АНУШО,ANUSHO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_arghavon_38,38,female,Женский,Духтарона,А,Арғавон,Аргавон,Arghavon,АРҒАВОН,АРГАВОН,ARGHAVON,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_arzanda_39,39,female,Женский,Духтарона,А,Арзанда,Арзанда,Arzanda,АРЗАНДА,АРЗАНДА,ARZANDA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_armughon_40,40,female,Женский,Духтарона,А,Армуғон,Армугон,Armughon,АРМУҒОН,АРМУГОН,ARMUGHON,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_arnavoz_41,41,female,Женский,Духтарона,А,Арнавоз,Арнавоз,Arnavoz,АРНАВОЗ,АРНАВОЗ,ARNAVOZ,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_arnoz_42,42,female,Женский,Духтарона,А,Арноз,Арноз,Arnoz,АРНОЗ,АРНОЗ,ARNOZ,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asal_43,43,female,Женский,Духтарона,А,Асал,Асал,Asal,АСАЛ,АСАЛ,ASAL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asalbonu_44,44,female,Женский,Духтарона,А,Асалбону,Асалбону,Asalbonu,АСАЛБОНУ,АСАЛБОНУ,ASALBONU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asalbuy_45,45,female,Женский,Духтарона,А,Асалбӯй,Асалбуй,Asalbuy,АСАЛБӮЙ,АСАЛБУЙ,ASALBUY,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asalmoh_46,46,female,Женский,Духтарона,А,Асалмоҳ,Асалмох,Asalmoh,АСАЛМОҲ,АСАЛМОХ,ASALMOH,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asalnush_47,47,female,Женский,Духтарона,А,Асалнуш,Асалнуш,Asalnush,АСАЛНУШ,АСАЛНУШ,ASALNUSH,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asil_48,48,female,Женский,Духтарона,А,Асил,Асил,Asil,АСИЛ,АСИЛ,ASIL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,atheel,"Вечерняя пора, благородная по происхождению",Арабское,благородная; вечерняя; нежная; изысканная; поэтичная,"Арабское أَصِيل (асиль) — «вечернее время (перед закатом); благородный по происхождению». В арабской поэзии закатное время — самое поэтическое и меланхолическое. Коранический «асиль» (вечер) упоминается в контексте поминания Аллаха: «Поминайте Аллаха утром и вечером (وَالْآصَالِ)» (3:41, 7:205). Имя несёт образ возвышенной красоты вечернего часа."
tj_f_asila_49,49,female,Женский,Духтарона,А,Асила,Асила,Asila,АСИЛА,АСИЛА,ASILA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,asila,"Благородная, знатная, с незамутнённым происхождением",Арабское,благородная; достойная; изысканная; гордая; чистая,"Женская форма от أَصِيل (асиль): أَصِيلَة (асила/асиля) — «благородная, чистокровная». Имя подчёркивает чистоту нрава и благородство характера. В арабской традиции «асала аль-асль» (чистота происхождения) связана не только с родовитостью, но и с нравственной высотой. Это имя встречается в арабских странах, особенно в монархиях Персидского залива, где концепция племенного благородства сохраняет культурное значение."
tj_f_asilabonu_50,50,female,Женский,Духтарона,А,Асилабону,Асилабону,Asilabonu,АСИЛАБОНУ,АСИЛАБОНУ,ASILABONU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asligul_51,51,female,Женский,Духтарона,А,Аслигул,Аслигул,Asligul,АСЛИГУЛ,АСЛИГУЛ,ASLIGUL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asolat_52,52,female,Женский,Духтарона,А,Асолат,Асолат,Asolat,АСОЛАТ,АСОЛАТ,ASOLAT,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asolatbonu_53,53,female,Женский,Духтарона,А,Асолатбону,Асолатбону,Asolatbonu,АСОЛАТБОНУ,АСОЛАТБОНУ,ASOLATBONU,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asolatgavhar_54,54,female,Женский,Духтарона,А,Асолатгавҳар,Асолатгавхар,Asolatgavhar,АСОЛАТГАВҲАР,АСОЛАТГАВХАР,ASOLATGAVHAR,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asolatguhar_55,55,female,Женский,Духтарона,А,Асолатгуҳар,Асолатгухар,Asolatguhar,АСОЛАТГУҲАР,АСОЛАТГУХАР,ASOLATGUHAR,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asolatmoh_56,56,female,Женский,Духтарона,А,Асолатмоҳ,Асолатмох,Asolatmoh,АСОЛАТМОҲ,АСОЛАТМОХ,ASOLATMOH,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_asro_57,57,female,Женский,Духтарона,А,Асро,Асро,Asro,АСРО,АСРО,ASRO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,azraa,"Девственница, чистая непорочная дева. Корень عَذَرَ (адара) — быть невинным, чистым. عَذْرَاء — «незамужняя дева, сохранившая чистоту»",Арабское,чистая; невинная; скромная; целомудренная; кроткая,"Арабское عَذْرَاء (азра) — «дева, девственница». В Коране Марьям (Дева Мария) описывается как «аль-Батуль» (непорочная дева): «وَمَرْيَمَ ابْنَتَ عِمْرَانَ الَّتِي أَحْصَنَتْ فَرْجَهَا» (66:12) — «Марьям, дочь Имрана, охранявшую своё целомудрие». Марьям — единственная женщина, упомянутая по имени в Коране, и ей посвящена целая сура (19). Имя Азра популярно в персидской поэзии: «Вамик и Азра» — классическая история о верной деве."
tj_f_atisho_58,58,female,Женский,Духтарона,А,Атишо,Атишо,Atisho,АТИШО,АТИШО,ATISHO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_atrafshon_59,59,female,Женский,Духтарона,А,Атрафшон,Атрафшон,Atrafshon,АТРАФШОН,АТРАФШОН,ATRAFSHON,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_atrgun_60,60,female,Женский,Духтарона,А,Атргун,Атргун,Atrgun,АТРГУН,АТРГУН,ATRGUN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_atrgul_61,61,female,Женский,Духтарона,А,Атргул,Атргул,Atrgul,АТРГУЛ,АТРГУЛ,ATRGUL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_atrin_62,62,female,Женский,Духтарона,А,Атрин,Атрин,Atrin,АТРИН,АТРИН,ATRIN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_atrina_63,63,female,Женский,Духтарона,А,Атрина,Атрина,Atrina,АТРИНА,АТРИНА,ATRINA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_afzalbibi_64,64,female,Женский,Духтарона,А,Афзалбибӣ,Афзалбиби,Afzalbibi,АФЗАЛБИБӢ,АФЗАЛБИБИ,AFZALBIBI,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_afifa_65,65,female,Женский,Духтарона,А,Афифа,Афифа,Afifa,АФИФА,АФИФА,AFIFA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,afeefa,"Целомудренная, чистая, воздержанная от запретного. Корень عَفَّ (аффа) — быть целомудренным, воздерживаться. عَفِيفَة — «хранящая чистоту»",Арабское,целомудренная; чистая; скромная; достойная; воздержанная,"Арабское عَفِيفَة (афифа) — «целомудренная, воздерживающаяся от запретного». «Аффа» — одна из важнейших добродетелей исламской этики. В Коране (24:33): «وَلْيَسْتَعْفِفِ الَّذِينَ لَا يَجِدُونَ نِكَاحًا» — «пусть воздерживаются те, кто не может вступить в брак». Пророк ﷺ говорил: «Тому, кто ручается мне за то, что между его челюстями, и за то, что между его ногами, я ручаюсь за рай» (Бухари). Хадиджа бинт Хувайлид ﷓ — первая жена Пророка — была известна как «аль-Афифа аль-Тахира» («чистая и целомудренная»)."
tj_f_afruza_66,66,female,Женский,Духтарона,А,Афрӯза,Афруза,Afruza,АФРӮЗА,АФРУЗА,AFRUZA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_afsan_67,67,female,Женский,Духтарона,А,Афсан,Афсан,Afsan,АФСАН,АФСАН,AFSAN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_afsona_68,68,female,Женский,Духтарона,А,Афсона,Афсона,Afsona,АФСОНА,АФСОНА,AFSONA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_afsun_69,69,female,Женский,Духтарона,А,Афсун,Афсун,Afsun,АФСУН,АФСУН,AFSUN,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_akhtar_70,70,female,Женский,Духтарона,А,Ахтар,Ахтар,Akhtar,АХТАР,АХТАР,AKHTAR,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",True,akhtar,"Звезда, счастливая звезда",Персидское,яркий; блестящий; удачливый; возвышенный; путеводный,"Персидское اختر (ахтар) означает «звезда» и «счастливая судьба». В персидской поэзии — от Хафиза до Руми — звёзды символизируют божественное руководство и предназначение. В суфийской литературе «звезда» часто метафора духовного наставника. Это имя широко распространено в Иране, Афганистане, Пакистане и Индии. Ахтар Хусайн (1906–1988) был президентом Пакистана в период важнейших событий страны."
tj_f_akhtarafruz_71,71,female,Женский,Духтарона,А,Ахтарафрӯз,Ахтарафруз,Akhtarafruz,АХТАРАФРӮЗ,АХТАРАФРУЗ,AKHTARAFRUZ,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_ahdiya_72,72,female,Женский,Духтарона,А,Аҳдия,Ахдия,Ahdiya,АҲДИЯ,АХДИЯ,AHDIYA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_ahliya_73,73,female,Женский,Духтарона,А,Аҳлия,Ахлия,Ahliya,АҲЛИЯ,АХЛИЯ,AHLIYA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_ayuso_74,74,female,Женский,Духтарона,А,Аюсо,Аюсо,Ayuso,АЮСО,АЮСО,AYUSO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_bazmoro_75,75,female,Женский,Духтарона,Б,Базморо,Базморо,Bazmoro,БАЗМОРО,БАЗМОРО,BAZMORO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_balkhiniso_76,76,female,Женский,Духтарона,Б,Балхинисо,Балхинисо,Balkhiniso,БАЛХИНИСО,БАЛХИНИСО,BALKHINISO,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_balkhinur_77,77,female,Женский,Духтарона,Б,Балхинур,Балхинур,Balkhinur,БАЛХИНУР,БАЛХИНУР,BALKHINUR,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_balkhiya_78,78,female,Женский,Духтарона,Б,Балхия,Балхия,Balkhiya,БАЛХИЯ,БАЛХИЯ,BALKHIYA,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_banoz_79,79,female,Женский,Духтарона,Б,Баноз,Баноз,Banoz,БАНОЗ,БАНОЗ,BANOZ,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_barafruz_80,80,female,Женский,Духтарона,Б,Барафрӯз,Барафруз,Barafruz,БАРАФРӮЗ,БАРАФРУЗ,BARAFRUZ,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
tj_f_bargigul_81,81,female,Женский,Духтарона,Б,Баргигул,Баргигул,Bargigul,БАРГИГУЛ,БАРГИГУЛ,BARGIGUL,True,"Қарори Ҳукумати Ҷумҳурии Тоҷикистон аз 26 феврали соли 2026, №98",False,,,Тоҷикӣ / Форсӣ,,
